L8,L16,L32,L64,L128,p
1.0,1.0,1.0,1.0,1.0,0.0
0.93832851,0.93632468,0.93529407,0.93477506,0.9345147,2.7586206896551726
0.84323326,0.83879174,0.8361117,0.83476047,0.83408239,5.517241379310345
0.75431123,0.75002346,0.74577318,0.74361901,0.74253765,8.275862068965518
0.6763988,0.67523674,0.66969197,0.6668221,0.66538102,11.03448275862069
0.60922493,0.61285854,0.60643852,0.6029414,0.60118471,13.793103448275863
0.55179095,0.56040557,0.55363052,0.54958502,0.54755141,16.551724137931036
0.50293942,0.51572423,0.50913698,0.50461361,0.50233572,19.310344827586206
0.46148187,0.47716745,0.47125681,0.46632216,0.46382734,22.06896551724138
0.4262861,0.44352066,0.4386716,0.43339268,0.43070386,24.827586206896555
0.39633367,0.41389007,0.41036393,0.40481078,0.40194736,27.586206896551726
0.37074466,0.38760796,0.38554517,0.3797916,0.37677011,30.344827586206897
0.34877861,0.3641636,0.36359967,0.3577223,0.35455702,33.10344827586207
0.32982241,0.34315581,0.34404295,0.33811933,0.33482277,35.862068965517246
0.31337294,0.32426128,0.32649075,0.32059706,0.31718041,38.62068965517241
0.29901906,0.30721362,0.31063589,0.30484472,0.30131823,41.37931034482759
0.28642502,0.29178932,0.29623096,0.29060939,0.28698265,44.13793103448276
0.27531629,0.27779822,0.28307516,0.27768331,0.27396552,46.896551724137936
0.26546768,0.26507689,0.27100426,0.2658943,0.2620945,49.65517241379311
0.25669384,0.25348377,0.25988291,0.25509857,0.25122577,52.41379310344828
0.24884146,0.24289562,0.2495987,0.24517513,0.24123841,55.17241379310345
0.24178318,0.23320465,0.24005751,0.23602149,0.23203007,57.931034482758626
0.23541262,0.22431632,0.23117994,0.2275503,0.22351355,60.689655172413794
0.22964052,0.21614753,0.22289847,0.21968667,0.21561412,63.44827586206897
0.22439161,0.20862502,0.21515526,0.21236609,0.20826739,66.20689655172414
0.21960206,0.20168413,0.20790036,0.2055327,0.20141757,68.96551724137932
0.21521757,0.19526768,0.20109034,0.19913795,0.1950161,71.72413793103449
0.21119163,0.18932499,0.19468719,0.19313942,0.18902052,74.48275862068967
0.20748431,0.18381112,0.1886574,0.18749995,0.18339354,77.24137931034483
0.20406114,0.17868609,0.1829713,0.18218686,0.17810227,80.0
