sigma_cor,Q_cor,p
0.4999999053784425,0.4441014402159986,0.01
0.4990763209895157,0.42052791192642314,0.6410526315789474
0.49622009260460137,0.3947340255148052,1.2721052631578948
0.49101877217657436,0.36624874472130997,1.9031578947368424
0.48274404968658363,0.334306843670486,2.5342105263157895
0.4703015126882782,0.2979995154299157,3.165263157894737
0.45218884628936373,0.2566153611838961,3.7963157894736845
0.42639008029709025,0.21014700450011103,4.427368421052631
0.3900981693657033,0.15988045976078166,5.058421052631579
0.3397591067608289,0.10911545479579364,5.689473684210527
0.27391314749943413,0.06388714120635516,6.320526315789474
0.19999129499986826,0.031188281135548567,6.9515789473684215
0.1335961759950541,0.013011813020871186,7.582631578947369
0.08477891535112272,0.00495592918971935,8.213684210526317
0.052954685873266,0.0018343997136355521,8.844736842105263
0.03322920334714488,0.0006860051313692986,9.47578947368421
0.02114108145238881,0.00026382795144784874,10.106842105263159
0.013672095475389213,0.00010112035935572878,10.737894736842106
0.009008957166304626,4.197072617878876e-05,11.368947368421054
0.006036716935305511,1.799438962153292e-05,12.0
