Fidelity_L32,Fidelity_L64,p
0.9979669599285452,0.998931389076909,0.01
0.9976169136637983,0.9987638159963314,0.8515789473684211
0.996886050938835,0.9984208590564013,1.6931578947368422
0.9955371886734172,0.9977725000105573,2.534736842105263
0.9932355452762173,0.9965751181709023,3.376315789473684
0.9893146007034771,0.9945790399230415,4.217894736842105
0.9830248530827573,0.9910958746812408,5.059473684210526
0.9735672490435769,0.9835284011495241,5.901052631578947
0.9566877854189277,0.9656715543314165,6.7426315789473685
0.9361495190413184,0.9437021604278881,7.2
0.8940035454861566,0.8894687468815529,7.58421052631579
0.7908721860511001,0.5167065050698043,8.08
0.7038966233653444,0.33310032869349987,8.42578947368421
0.6297358914857035,0.2628037142045524,8.8
0.5585142279474735,0.20881766215030415,9.267368421052632
0.446339965212569,0.1404352540946952,10.108947368421052
0.34083668371019704,0.09674984152672375,10.950526315789476
0.2520809033626523,0.06702904984720146,11.792105263157897
0.1930397719315953,0.046938447626905744,12.633684210526315
0.15358995999844688,0.03352334076507141,13.475263157894735
0.12372005256062862,0.02504664919178348,14.316842105263158
0.10178783491970825,0.019504820174140652,15.15842105263158
0.0840071011968948,0.01629080243513131,16.0
